"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-17-24 / 10:48 PM","Balcony","BAL320","6","1","1478.98"
"06-17-24 / 10:48 PM","Balcony","BAL305","11","1","1244.59"
"06-17-24 / 05:19 PM","Balcony","BAL307","14","2","1233.72"
"06-17-24 / 05:19 PM","Balcony","BAL312","8","1","1227.1"
"06-17-24 / 05:19 PM","Balcony","BAL328","13","1","1389.11"
"06-17-24 / 05:19 PM","Club","CLB139","D","3","5641.85"
"06-17-24 / 05:19 PM","Loge","LOGE15","19","1","3121.88"
"06-17-24 / 05:19 PM","Loge","LOGE14","A","1","4689.44"
"06-17-24 / 05:19 PM","Loge","LOGE6","H","1","3295.31"
"06-17-24 / 12:24 PM","Balcony","BAL328","12","2","1321.55"
"06-17-24 / 12:24 PM","Balcony","BAL322","12","2","1598.4"
"06-17-24 / 12:24 PM","Balcony","BAL303","13","5","1446.46"
"06-17-24 / 12:24 PM","Balcony","BAL310","8","2","1303.7"
"06-17-24 / 12:24 PM","Balcony","BAL312","13","1","1293.83"
"06-17-24 / 12:24 PM","Loge","LOGE10","22","1","2856.27"
"06-17-24 / 12:24 PM","Loge","LOGE6","L","1","3137.68"
"06-17-24 / 08:23 AM","Loge","LOGE7","25","1","2306.4"
"06-17-24 / 08:23 AM","Balcony","BAL318","8","2","1482.68"
"06-17-24 / 08:23 AM","Balcony","BAL316","12","2","1802.9"
"06-17-24 / 08:23 AM","Balcony","BAL310","7","1","1336.9"
"06-17-24 / 08:23 AM","Balcony","BAL314","14","2","1425.67"
"06-17-24 / 08:23 AM","Loge","LOGE10","A","1","4952.39"
"06-17-24 / 08:23 AM","Balcony","BAL321","1","2","2105.8"
"06-17-24 / 08:23 AM","Loge","LOGE11","11","2","6107.36"
"06-17-24 / 08:23 AM","Loge","LOGE10","7","2","5671.97"
"06-17-24 / 08:23 AM","Loge","LOGE11","10","2","6000.45"
"06-17-24 / 08:23 AM","Loge","LOGE10","18","1","4429.52"
"06-17-24 / 08:23 AM","Loge","LOGE4","8","4","5298.49"
"06-17-24 / 08:23 AM","Loge","LOGE5","5","1","5577.69"
"06-17-24 / 08:23 AM","Loge","LOGE4","14","3","4370.6"
"06-17-24 / 08:23 AM","Loge","LOGE10","20","3","4405.79"
"06-17-24 / 08:23 AM","Club","CLB139","E","2","3987.38"
"06-17-24 / 08:23 AM","Loge","LOGE4","22","3","3958.63"
"06-17-24 / 08:23 AM","Loge","LOGE19","14","2","4033.92"
"06-17-24 / 08:23 AM","Club","CLB143","G","2","3871.12"
"06-17-24 / 08:23 AM","Loge","LOGE3","4","2","3771.27"
"06-17-24 / 08:23 AM","Club","CLB145","G","2","3512.52"
"06-17-24 / 08:23 AM","Loge","LOGE17","18","4","3403.81"
"06-17-24 / 08:23 AM","Loge","LOGE10","13","1","3670.03"
"06-17-24 / 08:23 AM","Loge","LOGE16","10","2","3202.91"
"06-17-24 / 08:23 AM","Loge","LOGE6","8","4","3357.86"
"06-17-24 / 08:23 AM","Balcony","BAL316","7","3","3115.36"
"06-17-24 / 08:23 AM","Loge","LOGE7","23","1","3183.15"
"06-17-24 / 08:23 AM","Loge","LOGE5","12","2","3027.17"
"06-17-24 / 08:23 AM","Loge","LOGE6","12","2","3060.13"
"06-17-24 / 08:23 AM","Loge","LOGE15","26","3","3073.66"
"06-17-24 / 08:23 AM","Loge","LOGE19","25","2","2977.31"
"06-17-24 / 08:23 AM","Loge","LOGE5","15","2","3014.45"
"06-17-24 / 08:23 AM","Loge","LOGE19","17","2","2922.26"
"06-17-24 / 08:23 AM","Loge","LOGE6","16","2","2964.25"
"06-17-24 / 08:23 AM","Balcony","BAL316","9","1","2773.89"
"06-17-24 / 08:23 AM","Loge","LOGE7","22","2","2902"
"06-17-24 / 08:23 AM","Balcony","BAL316","8","2","2607.83"
"06-17-24 / 08:23 AM","Balcony","BAL315","8","2","2614.35"
"06-17-24 / 08:23 AM","Balcony","BAL309","1","1","2545.45"
"06-17-24 / 08:23 AM","Loge","LOGE18","13","2","2523.07"
"06-17-24 / 08:23 AM","Balcony","BAL307","8","2","2423.33"
"06-17-24 / 08:23 AM","Loge","LOGE16","24","2","2418.09"
"06-17-24 / 08:23 AM","Balcony","BAL314","8","2","2384.1"
"06-17-24 / 08:23 AM","Balcony","BAL321","2","1","2399.51"
"06-17-24 / 08:23 AM","Balcony","BAL316","11","2","2177.4"
"06-17-24 / 08:23 AM","Balcony","BAL303","14","3","2230.51"
